"Letter","Frequency","Source"
"a",8.497,"Overall"
"b",1.492,"Overall"
"c",2.202,"Overall"
"d",4.253,"Overall"
"e",11.162,"Overall"
"f",2.228,"Overall"
"g",2.015,"Overall"
"h",6.094,"Overall"
"i",7.546,"Overall"
"j",0.153,"Overall"
"k",1.292,"Overall"
"l",4.025,"Overall"
"m",2.406,"Overall"
"n",6.749,"Overall"
"o",7.507,"Overall"
"p",1.929,"Overall"
"q",0.095,"Overall"
"r",7.587,"Overall"
"s",6.327,"Overall"
"t",9.356,"Overall"
"u",2.758,"Overall"
"v",0.978,"Overall"
"w",2.56,"Overall"
"x",0.15,"Overall"
"y",1.994,"Overall"
"z",0.077,"Overall"
"a",10.719201651755,"Data Science"
"b",1.30763936682725,"Data Science"
"c",5.05849965588438,"Data Science"
"d",5.07570543702684,"Data Science"
"e",11.5278733654508,"Data Science"
"f",2.01307639366827,"Data Science"
"g",1.94425326909842,"Data Science"
"h",2.87336545079147,"Data Science"
"i",9.37715072264281,"Data Science"
"j",0.22367515485203,"Data Science"
"k",0.344115622849277,"Data Science"
"l",3.64762560220234,"Data Science"
"m",2.30557467309016,"Data Science"
"n",8.20715760495527,"Data Science"
"o",5.88437715072264,"Data Science"
"p",1.77219545767378,"Data Science"
"q",0.189263592567103,"Data Science"
"r",4.97247075017206,"Data Science"
"s",7.70818995182381,"Data Science"
"t",9.49759119064005,"Data Science"
"u",2.01307639366827,"Data Science"
"v",0.722642807983482,"Data Science"
"w",1.01514108740537,"Data Science"
"x",0.154852030282175,"Data Science"
"y",1.25602202339986,"Data Science"
"z",0.189263592567103,"Data Science"
